Date       Time,Pres,Depth,temp-.01,temp0,temp5,Conduct,TDS,salinity,spec_grav
2017-07-22 11:26:07,1408.22,3.938,13.94,14.06,15.82,33841,18278,20.97,1.017
2017-07-22 11:26:13,1510.20,4.978,13.81,14.06,15.57,33791,18251,20.94,1.017
2017-07-22 11:26:19,1460.38,4.470,13.81,13.94,15.57,33881,18296,20.99,1.017
2017-07-22 11:26:26,1423.61,4.095,13.81,13.94,15.63,33891,18305,21.00,1.017
2017-07-22 11:26:32,1475.73,4.626,13.81,13.94,15.57,33911,18313,21.01,1.017
2017-07-22 11:26:38,1485.18,4.722,13.75,13.94,15.51,33881,18297,20.99,1.017
2017-07-22 11:26:44,1442.48,4.287,13.81,13.88,15.51,33931,18327,21.03,1.017
2017-07-22 11:26:50,1412.80,3.985,13.81,13.94,15.69,33901,18307,21.00,1.017
2017-07-22 11:26:56,1413.95,3.996,13.81,13.94,15.69,33911,18316,21.02,1.017
2017-07-22 11:27:03,1482.71,4.697,13.81,14.00,15.51,33841,18275,20.97,1.017
2017-07-22 11:27:09,1601.23,5.905,13.69,13.94,15.38,33831,18272,20.96,1.017
2017-07-22 11:27:15,2006.64,10.038,13.38,13.75,14.44,33891,18305,20.99,1.017
2017-07-22 11:27:21,2466.36,14.724,13.12,13.50,13.76,33911,18313,20.99,1.017
2017-07-22 11:27:27,2998.83,20.152,12.88,13.25,13.32,33961,18342,21.01,1.017
2017-07-22 11:27:33,3596.56,26.245,12.75,13.00,13.01,34041,18386,21.05,1.017
2017-07-22 11:27:40,4197.44,32.370,12.69,12.81,12.88,34151,18445,21.12,1.017
2017-07-22 11:27:46,4768.66,38.193,12.62,12.75,12.82,34171,18455,21.13,1.017
2017-07-22 11:27:52,5368.24,44.305,12.62,12.75,12.82,34171,18453,21.13,1.017
2017-07-22 11:27:58,5936.87,50.102,12.62,12.69,12.82,34221,18480,21.16,1.017
2017-07-22 11:28:04,6523.54,56.082,12.62,12.69,12.76,34211,18475,21.15,1.017
2017-07-22 11:28:10,7107.39,62.033,12.62,12.69,12.76,34211,18474,21.15,1.017
2017-07-22 11:28:17,7314.56,64.145,12.56,12.69,12.76,34151,18446,21.11,1.017
2017-07-22 11:28:23,7313.29,64.132,12.56,12.69,12.76,34171,18455,21.12,1.017
2017-07-22 11:28:29,7313.03,64.130,12.56,12.69,12.76,34181,18459,21.13,1.017
2017-07-22 11:28:35,7314.71,64.147,12.56,12.69,12.76,34201,18470,21.14,1.017
2017-07-22 11:28:41,7314.97,64.149,12.56,12.69,12.76,34211,18478,21.15,1.017
2017-07-22 11:28:47,7314.05,64.140,12.62,12.69,12.76,34221,18483,21.16,1.017
2017-07-22 11:28:54,7314.31,64.143,12.56,12.69,12.76,34231,18486,21.16,1.017
2017-07-22 11:29:00,7314.56,64.145,12.56,12.69,12.76,34231,18487,21.16,1.017
2017-07-22 11:29:06,7313.39,64.133,12.56,12.69,12.76,34241,18490,21.17,1.017
2017-07-22 11:29:12,7314.56,64.145,12.56,12.69,12.76,34241,18492,21.17,1.017
2017-07-22 11:29:18,7313.39,64.133,12.56,12.69,12.69,34231,18487,21.16,1.017
2017-07-22 11:29:24,7313.13,64.131,12.62,12.69,12.69,34231,18487,21.16,1.017
2017-07-22 11:29:31,7313.13,64.131,12.56,12.69,12.76,34241,18491,21.17,1.017
2017-07-22 11:29:37,7313.80,64.137,12.56,12.69,12.69,34241,18491,21.17,1.017
2017-07-22 11:29:43,7313.54,64.135,12.56,12.69,12.69,34241,18491,21.17,1.017
2017-07-22 11:29:49,7314.46,64.144,12.56,12.69,12.69,34231,18486,21.16,1.017
2017-07-22 11:29:55,7312.78,64.127,12.56,12.69,12.69,34231,18487,21.16,1.017
2017-07-22 11:30:01,7313.69,64.136,12.56,12.69,12.69,34241,18490,21.17,1.017
2017-07-22 11:30:08,7313.18,64.131,12.56,12.69,12.69,34241,18490,21.17,1.017
2017-07-22 11:30:14,7313.85,64.138,12.56,12.69,12.69,34231,18487,21.16,1.017
2017-07-22 11:30:20,7313.34,64.133,12.62,12.69,12.69,34231,18488,21.17,1.017
2017-07-22 11:30:26,7311.91,64.118,12.56,12.69,12.69,34231,18489,21.17,1.017
2017-07-22 11:30:32,7313.75,64.137,12.56,12.69,12.69,34231,18486,21.16,1.017
2017-07-22 11:30:38,7314.41,64.144,12.56,12.69,12.69,34231,18488,21.17,1.017
2017-07-22 11:30:45,7311.55,64.115,12.56,12.69,12.69,34241,18492,21.17,1.017
2017-07-22 11:30:51,7314.82,64.148,12.56,12.69,12.69,34251,18495,21.17,1.017
2017-07-22 11:30:57,7314.05,64.140,12.56,12.69,12.69,34241,18494,21.17,1.017
2017-07-22 11:31:03,7313.54,64.135,12.56,12.69,12.69,34241,18494,21.17,1.017
2017-07-22 11:31:09,7314.20,64.142,12.56,12.69,12.69,34251,18495,21.17,1.017
2017-07-22 11:31:15,7313.69,64.136,12.56,12.69,12.69,34251,18497,21.18,1.017
2017-07-22 11:31:22,7314.36,64.143,12.56,12.69,12.69,34251,18499,21.18,1.017
2017-07-22 11:31:28,7312.67,64.126,12.56,12.69,12.69,34261,18500,21.18,1.017
2017-07-22 11:31:34,7313.33,64.133,12.56,12.69,12.63,34261,18502,21.18,1.017
2017-07-22 11:31:41,7313.74,64.137,12.56,12.69,12.69,34261,18500,21.18,1.017
2017-07-22 11:31:47,7314.40,64.144,12.56,12.69,12.69,34271,18508,21.19,1.017
2017-07-22 11:31:53,7313.63,64.136,12.56,12.69,12.63,34261,18504,21.19,1.017
2017-07-22 11:31:59,7313.38,64.133,12.56,12.69,12.63,34271,18508,21.19,1.017
2017-07-22 11:32:06,7315.47,64.155,12.56,12.69,12.63,34271,18509,21.19,1.017
2017-07-22 11:32:12,7313.53,64.135,12.56,12.69,12.63,34281,18512,21.20,1.017
2017-07-22 11:32:18,7314.19,64.141,12.56,12.69,12.63,34271,18510,21.19,1.017
2017-07-22 11:32:24,7313.67,64.136,12.56,12.69,12.63,34281,18514,21.20,1.017
2017-07-22 11:32:30,7314.33,64.143,12.56,12.69,12.63,34291,18519,21.20,1.017
2017-07-22 11:32:36,7313.82,64.138,12.56,12.69,12.63,34291,18517,21.20,1.017
2017-07-22 11:32:42,7313.31,64.133,12.56,12.69,12.63,34291,18517,21.20,1.017
2017-07-22 11:32:49,7313.97,64.139,12.56,12.69,12.63,34291,18520,21.21,1.017
2017-07-22 11:32:55,7313.46,64.134,12.56,12.69,12.63,34291,18521,21.21,1.017
2017-07-22 11:33:01,7312.94,64.129,12.56,12.69,12.63,34311,18528,21.22,1.017
2017-07-22 11:33:07,7313.60,64.135,12.56,12.69,12.63,34301,18524,21.21,1.017
2017-07-22 11:33:13,7314.51,64.145,12.62,12.69,12.63,34311,18532,21.22,1.017
2017-07-22 11:33:19,7312.57,64.125,12.56,12.69,12.63,34311,18531,21.22,1.017
2017-07-22 11:33:26,7314.40,64.144,12.56,12.69,12.63,34321,18533,21.22,1.017
2017-07-22 11:33:32,7314.14,64.141,12.56,12.69,12.63,34321,18533,21.22,1.017
2017-07-22 11:33:38,7314.54,64.145,12.56,12.69,12.63,34321,18535,21.22,1.017
2017-07-22 11:33:44,7314.03,64.140,12.56,12.69,12.63,34331,18538,21.23,1.017
2017-07-22 11:33:50,7313.77,64.137,12.56,12.69,12.63,34321,18537,21.23,1.017
2017-07-22 11:33:56,7314.43,64.144,12.56,12.69,12.63,34341,18544,21.24,1.017
2017-07-22 11:34:03,7315.08,64.151,12.56,12.69,12.63,34341,18545,21.24,1.017
2017-07-22 11:34:09,7313.40,64.133,12.56,12.69,12.63,34341,18545,21.24,1.017
2017-07-22 11:34:15,7314.31,64.143,12.56,12.69,12.63,34351,18550,21.24,1.017
2017-07-22 11:34:21,7314.71,64.147,12.56,12.69,12.63,34351,18550,21.24,1.017
2017-07-22 11:34:27,7314.45,64.144,12.56,12.69,12.63,34351,18553,21.25,1.017
2017-07-22 11:34:34,7314.85,64.148,12.56,12.69,12.63,34361,18555,21.25,1.017
2017-07-22 11:34:40,7314.33,64.143,12.56,12.69,12.63,34361,18558,21.25,1.017
2017-07-22 11:34:46,7315.24,64.152,12.56,12.69,12.63,34371,18565,21.26,1.017
2017-07-22 11:34:52,7313.56,64.135,12.56,12.69,12.63,34381,18567,21.26,1.017
2017-07-22 11:34:58,7315.38,64.154,12.56,12.69,12.63,34381,18568,21.27,1.017
2017-07-22 11:35:04,7314.87,64.148,12.56,12.69,12.63,34391,18572,21.27,1.017
2017-07-22 11:35:11,7314.35,64.143,12.56,12.62,12.63,34441,18600,21.30,1.017
2017-07-22 11:35:17,7315.26,64.152,12.56,12.62,12.63,34441,18600,21.30,1.017
2017-07-22 11:35:23,7315.00,64.150,12.56,12.69,12.63,34391,18572,21.27,1.017
2017-07-22 11:35:29,7315.65,64.156,12.56,12.69,12.63,34391,18573,21.27,1.017
2017-07-22 11:35:35,7314.88,64.149,12.56,12.69,12.63,34401,18579,21.28,1.017
2017-07-22 11:35:42,7314.36,64.143,12.56,12.69,12.63,34411,18582,21.28,1.017
2017-07-22 11:35:48,7315.01,64.150,12.56,12.69,12.63,34411,18583,21.29,1.017
2017-07-22 11:35:54,7315.01,64.150,12.56,12.69,12.63,34421,18587,21.29,1.017
2017-07-22 11:36:00,7315.67,64.157,12.56,12.69,12.63,34421,18587,21.29,1.017
2017-07-22 11:36:06,7315.15,64.151,12.56,12.69,12.63,34421,18589,21.29,1.017
2017-07-22 11:36:12,7314.63,64.146,12.56,12.62,12.63,34481,18621,21.33,1.017
2017-07-22 11:36:19,7315.54,64.155,12.56,12.62,12.63,34491,18629,21.34,1.017
2017-07-22 11:36:25,7315.02,64.150,12.56,12.69,12.63,34431,18595,21.30,1.017
2017-07-22 11:36:31,7314.50,64.145,12.56,12.69,12.63,34451,18604,21.31,1.017
2017-07-22 11:36:37,7315.41,64.154,12.56,12.62,12.63,34511,18635,21.35,1.017
2017-07-22 11:36:43,7315.15,64.151,12.56,12.69,12.63,34451,18606,21.31,1.017
2017-07-22 11:36:50,7314.64,64.146,12.56,12.69,12.63,34451,18607,21.31,1.017
2017-07-22 11:36:56,7315.28,64.153,12.56,12.62,12.63,34511,18639,21.35,1.017
