Date       Time,Pres,Depth M,Depth ft,temp-.01,temp0c,temp0f,temp3.8,Conduct,TDS,salinity,spec_grav
2017-08-07 10:25:49,3584.51,-26.207,-85.982,13.44,13.44,56.19,13.44,31050,16768,19.05,1.016
2017-08-07 10:25:53,3799.23,-28.396,-93.163,13.44,13.44,56.19,13.38,31020,16754,19.03,1.015
2017-08-07 10:25:57,3895.94,-29.382,-96.397,13.44,13.44,56.19,13.38,31030,16758,19.04,1.015
2017-08-07 10:26:02,3891.01,-29.332,-96.233,13.44,13.44,56.19,13.38,31040,16762,19.04,1.016
2017-08-07 10:26:06,3943.44,-29.866,-97.986,13.44,13.44,56.19,13.38,31000,16745,19.02,1.015
2017-08-07 10:26:10,4194.28,-32.423,-106.375,13.44,13.44,56.19,13.38,30990,16738,19.01,1.015
2017-08-07 10:26:14,4194.00,-32.420,-106.366,13.38,13.38,56.08,13.38,31070,16781,19.06,1.016
2017-08-07 10:26:18,4218.10,-32.666,-107.172,13.38,13.38,56.08,13.32,31040,16763,19.04,1.016
2017-08-07 10:26:22,4560.09,-36.152,-118.609,13.38,13.38,56.08,13.32,31030,16761,19.04,1.016
2017-08-07 10:26:27,4600.33,-36.562,-119.955,13.31,13.38,56.08,13.32,31040,16764,19.05,1.016
2017-08-07 10:26:31,4737.45,-37.960,-124.541,13.31,13.31,55.96,13.32,31060,16778,19.06,1.016
2017-08-07 10:26:35,5008.92,-40.727,-133.620,13.31,13.31,55.96,13.26,31060,16775,19.06,1.016
2017-08-07 10:26:39,5007.24,-40.710,-133.564,13.25,13.25,55.85,13.26,31040,16762,19.04,1.016
2017-08-07 10:26:44,5335.79,-44.059,-144.552,13.25,13.25,55.85,13.19,31100,16795,19.08,1.016
2017-08-07 10:26:48,5431.70,-45.037,-147.759,13.25,13.25,55.85,13.19,31090,16792,19.07,1.016
2017-08-07 10:26:52,5426.47,-44.984,-147.584,13.25,13.25,55.85,13.19,31090,16793,19.07,1.016
2017-08-07 10:26:57,5657.06,-47.334,-155.296,13.19,13.19,55.74,13.19,31140,16818,19.10,1.016
2017-08-07 10:27:01,5846.78,-49.268,-161.641,13.19,13.19,55.74,13.13,31140,16816,19.10,1.016
2017-08-07 10:27:05,5841.71,-49.217,-161.472,13.19,13.19,55.74,13.13,31140,16820,19.11,1.016
2017-08-07 10:27:09,6087.37,-51.721,-169.687,13.19,13.19,55.74,13.13,31130,16812,19.10,1.016
2017-08-07 10:27:14,6272.58,-53.609,-175.881,13.19,13.19,55.74,13.13,31140,16818,19.10,1.016
2017-08-07 10:27:18,6270.97,-53.592,-175.828,13.19,13.19,55.74,13.13,31130,16815,19.10,1.016
2017-08-07 10:27:23,6453.81,-55.456,-181.943,13.19,13.19,55.74,13.13,31150,16822,19.11,1.016
2017-08-07 10:27:27,6569.02,-56.630,-185.795,13.19,13.19,55.74,13.13,31140,16820,19.11,1.016
2017-08-07 10:27:31,6570.88,-56.649,-185.858,13.19,13.19,55.74,13.13,31140,16820,19.11,1.016
2017-08-07 10:27:35,6727.11,-58.242,-191.083,13.19,13.19,55.74,13.07,31150,16825,19.11,1.016
2017-08-07 10:27:39,6897.09,-59.975,-196.767,13.19,13.19,55.74,13.07,31080,16786,19.06,1.016
2017-08-07 10:27:43,6896.84,-59.972,-196.759,13.19,13.19,55.74,13.07,31150,16821,19.11,1.016
2017-08-07 10:27:47,7061.88,-61.655,-202.279,13.12,13.19,55.74,13.07,31140,16816,19.10,1.016
2017-08-07 10:27:52,7379.59,-64.893,-212.904,13.12,13.19,55.74,13.07,31140,16821,19.11,1.016
2017-08-07 10:27:56,7409.63,-65.199,-213.909,13.19,13.19,55.74,13.07,31140,16818,19.10,1.016
2017-08-07 10:28:00,7530.05,-66.427,-217.936,13.19,13.19,55.74,13.07,31140,16817,19.10,1.016
2017-08-07 10:28:04,7856.97,-69.759,-228.870,13.19,13.19,55.74,13.07,31140,16821,19.11,1.016
2017-08-07 10:28:08,7882.04,-70.015,-229.708,13.12,13.19,55.74,13.07,31140,16818,19.10,1.016
2017-08-07 10:28:13,7940.02,-70.606,-231.647,13.12,13.19,55.74,13.07,31140,16819,19.10,1.016
2017-08-07 10:28:17,8292.18,-74.196,-243.425,13.12,13.19,55.74,13.07,31140,16817,19.10,1.016
2017-08-07 10:28:21,8570.02,-77.028,-252.717,13.12,13.12,55.62,13.07,31200,16849,19.14,1.016
2017-08-07 10:28:25,8568.24,-77.010,-252.657,13.12,13.19,55.74,13.07,31150,16822,19.11,1.016
2017-08-07 10:28:29,8891.44,-80.304,-263.466,13.12,13.12,55.62,13.07,31200,16853,19.14,1.016
2017-08-07 10:28:33,9059.35,-82.016,-269.082,13.12,13.12,55.62,13.07,31140,16816,19.10,1.016
2017-08-07 10:28:37,9053.19,-81.953,-268.876,13.12,13.12,55.62,13.07,31120,16809,19.09,1.016
2017-08-07 10:28:42,9056.36,-81.986,-268.982,13.12,13.12,55.62,13.07,31140,16817,19.10,1.016
2017-08-07 10:28:46,9054.03,-81.962,-268.904,13.12,13.12,55.62,13.07,31130,16815,19.10,1.016
2017-08-07 10:28:50,9056.69,-81.989,-268.993,13.12,13.12,55.62,13.07,31140,16818,19.10,1.016
2017-08-07 10:28:54,9055.85,-81.980,-268.965,13.12,13.12,55.62,13.07,31140,16820,19.10,1.016
2017-08-07 10:28:58,9057.02,-81.992,-269.004,13.12,13.12,55.62,13.07,31140,16819,19.10,1.016
2017-08-07 10:29:02,9053.85,-81.960,-268.898,13.12,13.19,55.74,13.07,31080,16787,19.06,1.016
