time,temp
09:21:48,24.547
09:21:49,24.558
09:21:50,24.558
09:21:51,24.547
09:21:52,24.536
09:21:53,24.547
09:21:54,24.558
09:21:55,24.536
09:21:56,24.526
09:21:57,24.536
09:21:58,24.526
09:21:59,24.515
09:22:00,24.536
09:22:01,24.526
09:22:02,24.526
09:22:03,24.515
09:22:04,24.504
09:22:05,24.515
09:22:06,24.515
09:22:07,24.504
09:22:08,24.504
09:22:09,24.493
09:22:10,24.515
09:22:11,24.515
09:22:12,24.504
09:22:13,24.493
09:22:14,24.504
09:22:15,24.515
09:22:16,24.493
09:22:17,24.493
09:22:18,24.483
09:22:19,24.504
09:22:20,24.493
09:22:22,24.483
09:22:23,24.472
09:22:24,24.472
09:22:25,24.493
09:22:26,24.483
09:22:27,24.472
09:22:28,24.472
09:22:29,24.472
09:22:30,24.472
09:22:31,24.472
09:22:32,24.483
09:22:33,24.493
09:22:34,24.504
09:22:35,24.483
09:22:36,24.483
09:22:37,24.483
09:22:38,24.483
09:22:39,24.493
09:22:40,24.483
09:22:41,24.493
09:22:42,24.472
09:22:43,24.504
09:22:44,24.504
09:22:45,24.493
09:22:46,24.504
09:22:47,24.493
09:22:48,24.493
09:22:49,24.483
09:22:50,24.472
09:22:51,24.483
09:22:52,24.472
09:22:53,24.472
09:22:54,24.483
09:22:55,24.504
09:22:56,24.472
09:22:57,24.472
09:22:58,24.461
09:22:59,24.450
09:23:00,24.472
09:23:01,24.483
09:23:02,24.461
09:23:03,24.483
09:23:04,24.450
09:23:05,24.440
09:23:06,24.461
09:23:07,24.450
09:23:08,24.440
09:23:09,24.450
09:23:10,24.440
09:23:11,24.408
09:23:12,24.440
09:23:13,24.408
09:23:14,24.418
09:23:15,24.397
09:23:16,24.418
09:23:17,24.386
09:23:18,24.408
09:23:19,24.375
09:23:20,24.386
09:23:21,24.375
09:23:22,24.397
09:23:23,24.365
09:23:24,24.375
09:23:25,24.386
09:23:26,24.375
09:23:27,24.354
09:23:28,24.354
09:23:29,24.375
09:23:30,24.375
09:23:31,24.365
09:23:32,24.365
09:23:33,24.375
09:23:34,24.365
09:23:35,24.354
09:23:36,24.354
09:23:37,24.365
09:23:38,24.365
09:23:39,24.354
09:23:40,24.332
09:23:41,24.332
09:23:42,24.365
09:23:43,24.365
09:23:44,24.354
09:23:45,24.322
09:23:46,24.322
09:23:47,24.332
09:23:48,24.343
09:23:49,24.354
09:23:50,24.343
09:23:51,24.343
09:23:52,24.343
09:23:53,24.322
09:23:54,24.322
09:23:55,24.332
09:23:56,24.311
09:23:57,24.322
09:23:58,24.322
09:23:59,24.311
09:24:00,24.311
09:24:01,24.300
09:24:02,24.322
09:24:03,24.322
09:24:04,24.311
09:24:05,24.290
09:24:06,24.290
09:24:07,24.300
09:24:08,24.290
09:24:09,24.300
09:24:10,24.290
09:24:11,24.279
09:24:12,24.279
09:24:13,24.279
09:24:14,24.300
09:24:15,24.268
09:24:16,24.290
09:24:17,24.290
09:24:18,24.279
09:24:19,24.290
09:24:20,24.268
09:24:21,24.290
09:24:22,24.247
09:24:23,24.279
09:24:24,24.268
09:24:25,24.279
09:24:26,24.257
09:24:27,24.268
09:24:28,24.268
09:24:29,24.290
09:24:30,24.257
09:24:31,24.236
09:24:32,24.257
09:24:33,24.268
09:24:34,24.236
09:24:35,24.236
09:24:36,24.247
09:24:37,24.247
09:24:38,24.247
09:24:39,24.236
09:24:40,24.236
09:24:41,24.236
09:24:42,24.193
09:24:43,24.161
09:24:44,24.161
09:24:45,24.150
09:24:46,24.107
09:24:47,24.097
09:24:48,24.075
09:24:49,24.107
09:24:50,24.547
09:24:51,27.357
09:24:52,30.285
09:24:53,31.894
09:24:54,32.827
09:24:55,33.470
09:24:56,33.964
09:24:57,34.339
09:24:58,34.607
09:24:59,34.811
09:25:00,34.961
09:25:01,35.068
09:25:02,35.186
09:25:03,35.304
09:25:04,35.326
09:25:05,35.369
09:25:06,35.444
09:25:08,35.529
09:25:09,35.615
09:25:10,35.701
09:25:11,35.776
09:25:12,35.830
09:25:13,35.862
09:25:14,35.937
09:25:15,35.958
09:25:16,36.034
09:25:17,36.044
09:25:18,36.087
09:25:19,36.141
