date    time,pressure,depth M,Depth F,temp C,Temp F
2017-09-05 13:23:36,245.98,0.004,0.015,26.53,79.76
2017-09-05 13:23:39,245.98,0.004,0.015,26.53,79.76
2017-09-05 13:23:42,246.86,-0.004,-0.015,26.52,79.74
2017-09-05 13:23:45,245.99,0.004,0.015,26.53,79.76
2017-09-05 13:23:49,245.98,0.004,0.015,26.53,79.76
2017-09-05 13:23:52,246.86,-0.004,-0.015,26.52,79.74
2017-09-05 13:23:55,246.86,-0.004,-0.015,26.53,79.76
2017-09-05 13:23:58,245.98,0.004,0.015,26.53,79.76
2017-09-05 13:24:01,245.97,0.005,0.015,26.54,79.78
2017-09-05 13:24:05,245.10,0.013,0.044,26.52,79.74
2017-09-05 13:24:08,246.88,-0.005,-0.015,35.07,95.12
2017-09-05 13:24:11,245.99,0.004,0.014,44.12,111.42
2017-09-05 13:24:14,245.99,0.004,0.015,45.62,114.12
2017-09-05 13:24:17,246.00,0.004,0.014,46.02,114.83
2017-09-05 13:24:20,245.99,0.004,0.014,46.15,115.07
2017-09-05 13:24:24,246.87,-0.005,-0.015,46.23,115.22
2017-09-05 13:24:27,245.99,0.004,0.015,46.28,115.30
2017-09-05 13:24:30,246.86,-0.004,-0.015,46.19,115.14
2017-09-05 13:24:33,246.86,-0.004,-0.015,46.14,115.05
2017-09-05 13:24:36,246.86,-0.004,-0.015,46.16,115.08
2017-09-05 13:24:40,245.98,0.004,0.015,46.17,115.10
2017-09-05 13:24:43,245.97,0.005,0.015,46.14,115.05
2017-09-05 13:24:46,246.87,-0.005,-0.015,46.15,115.07
2017-09-05 13:24:49,246.88,-0.005,-0.015,46.14,115.05
2017-09-05 13:24:52,246.01,0.004,0.014,46.14,115.05
2017-09-05 13:24:55,246.00,0.004,0.014,46.13,115.03
2017-09-05 13:24:59,246.88,-0.005,-0.015,46.10,114.99
2017-09-05 13:25:02,246.89,-0.005,-0.016,46.13,115.03
2017-09-05 13:25:05,246.01,0.004,0.014,46.03,114.85
2017-09-05 13:25:08,246.01,0.004,0.014,45.88,114.58
2017-09-05 13:25:11,246.00,0.004,0.014,45.87,114.56
2017-09-05 13:25:15,246.00,0.004,0.014,45.89,114.60
2017-09-05 13:25:18,245.11,0.013,0.044,45.93,114.68
2017-09-05 13:25:21,246.88,-0.005,-0.015,45.94,114.70
2017-09-05 13:25:24,246.87,-0.005,-0.015,45.90,114.62
2017-09-05 13:25:27,246.87,-0.005,-0.015,45.88,114.58
2017-09-05 13:25:30,245.97,0.005,0.015,45.84,114.51
2017-09-05 13:25:34,245.97,0.005,0.015,46.00,114.79
2017-09-05 13:25:37,245.97,0.005,0.015,45.81,114.47
2017-09-05 13:25:40,245.97,0.005,0.015,34.60,94.27
2017-09-05 13:25:43,246.86,-0.004,-0.015,19.75,67.56
2017-09-05 13:25:46,245.97,0.005,0.015,16.37,61.47
2017-09-05 13:25:50,246.85,-0.004,-0.014,15.86,60.55
2017-09-05 13:25:53,246.85,-0.004,-0.014,15.76,60.37
2017-09-05 13:25:56,245.97,0.005,0.015,15.69,60.24
2017-09-05 13:25:59,246.86,-0.004,-0.015,15.67,60.20
2017-09-05 13:26:02,245.97,0.005,0.015,15.68,60.22
2017-09-05 13:26:06,245.09,0.014,0.044,15.65,60.16
2017-09-05 13:26:09,246.85,-0.004,-0.014,15.63,60.14
2017-09-05 13:26:12,245.97,0.005,0.015,15.67,60.20
2017-09-05 13:26:15,246.84,-0.004,-0.014,15.72,60.30
2017-09-05 13:26:18,245.97,0.005,0.015,15.73,60.32
2017-09-05 13:26:21,245.97,0.005,0.015,15.72,60.30
2017-09-05 13:26:25,246.84,-0.004,-0.014,15.74,60.34
2017-09-05 13:26:28,245.97,0.005,0.015,15.72,60.30
2017-09-05 13:26:31,246.85,-0.004,-0.014,15.73,60.32
2017-09-05 13:26:34,246.85,-0.004,-0.014,15.76,60.37
2017-09-05 13:26:37,246.85,-0.004,-0.014,15.74,60.34
2017-09-05 13:26:41,246.86,-0.004,-0.015,15.77,60.39
2017-09-05 13:26:44,245.97,0.005,0.015,15.76,60.37
2017-09-05 13:26:47,245.98,0.004,0.015,15.77,60.39
2017-09-05 13:26:50,245.98,0.004,0.015,15.80,60.43
2017-09-05 13:26:53,246.86,-0.004,-0.015,15.81,60.45
2017-09-05 13:26:56,246.86,-0.004,-0.015,15.83,60.49
2017-09-05 13:27:00,246.86,-0.004,-0.015,15.86,60.55
2017-09-05 13:27:03,245.98,0.004,0.015,15.84,60.51
